,H2O_sew,COD_part,COD_sol,X_TSS_sew,NH4_sew,PO4_sew,FD
0,-44014752000.0,-16062743.59488,-9157709.30112,-8934994.656,-1956015.57888,-315629.786592,0.048637835
1,-43251585000.0,-15784233.4299,-8998924.7751,-8780071.754999999,-1922100.4374,-310157.11603499996,0.048071937
2,-42466956000.0,-15497890.92264,-8835674.86536,-8620792.068,-1887231.5246399997,-304530.541476,0.047421736
3,-41699801000.0,-15217925.376939999,-8676060.59606,-8465059.603,-1853139.1564399998,-299029.272971,0.046576436
4,-40928974000.0,-14936619.77156,-8515682.33044,-8308581.722,-1818883.60456,-293501.672554,0.046300067
5,-40085990000.0,-14582481.442199998,-7927405.3824,-7974706.8506,-1693232.2175999996,-273226.10783999995,0.045765014
6,-39437421000.0,-14346545.01138,-7799144.37696,-7845680.53374,-1665836.6630399998,-268805.461536,0.045391027
7,-38776086000.0,-14105964.56508,-7668358.76736,-7714114.54884,-1637901.87264,-264297.802176,0.045021808
8,-38069943000.0,-13849083.86454,-7528711.92768,-7573634.460419999,-1608074.3923199999,-259484.731488,0.044553239
9,-37500822000.0,-13366792.993679998,-7261659.17208,-7308160.19136,-1551033.99792,-250280.48602799998,0.044117884
10,-36877794000.0,-13144720.893359998,-7141016.03016,-7186744.49472,-1525265.55984,-246122.397156,0.044005972
11,-36365064000.0,-12961963.412159998,-7041730.9929599995,-7086823.67232,-1504059.0470399999,-242700.43713599996,0.043990696
12,-35822093000.0,-12768426.828919997,-6936590.08852,-6981009.48384,-1481601.76648,-239076.648682,0.043556987
13,-35320944000.0,-11837107.962720001,-6985069.88544,-6668241.017760001,-1491956.67456,-240747.55430400002,0.043222016
14,-34847299000.0,-11678375.31387,-6891401.85024,-6578821.578210001,-1471949.9097599997,-237519.189984,0.043359814
15,-34404552000.0,-11529997.51176,-6803844.20352,-6495235.372080001,-1453248.27648,-234501.426432,0.043205125
16,-33988571000.000004,-11390589.799230002,-6721579.800960001,-6416702.319090001,-1435677.23904,-231666.099936,0.043465622
17,-33631999000.000004,-10939816.63472,-6789627.958120001,-6281112.133240001,-1420615.63776,-229235.70518400002,0.043669047
18,-33363218000.0,-10852387.55104,-6735366.44984,-6230914.593680001,-1409262.3283199999,-227403.693888,0.044215235
19,-33158207000.000004,-10785701.57296,-6693978.82916,-6192626.739320001,-1400602.66368,-226006.338912,0.04466384
20,-32994400000.0,-10732418.432,-6660909.472,-6162034.144000001,-1393683.456,-224889.8304,0.04537265
21,-32907154000.000004,-10500672.8414,-6846662.46124,-6145740.0810400015,-1418956.48048,-228967.977532,0.046098927
22,-32908170000.0,-10500997.046999998,-6846873.850199999,-6145929.8292000005,-1419000.2903999998,-228975.04685999997,0.047415855
23,-32979509000.0,-10523761.321899999,-6861716.642539999,-6159253.10084,-1422076.4280799998,-229471.42362199997,0.047864908
24,-33177117000.0,-10586818.034699999,-6902830.96302,-6196158.370920001,-1430597.2850399998,-230846.38008599996,0.049037969
25,-33381517000.0,-10804595.607390003,-6601528.8019199995,-6166567.635410001,-1483474.61548,-239378.85840699996,0.050000109
26,-33702538000.0,-10908500.474460002,-6665013.91488,-6225869.844740001,-1497740.7887199998,-241680.89999799998,0.051022389
27,-34093983999.999996,-11035199.801280001,-6742426.275839999,-6298181.66432,-1515136.6489599997,-244487.95926399995,0.05164593
28,-34572651000.0,-11190129.949170003,-6837087.461759999,-6386605.8192300005,-1536408.6104399997,-247920.48032099995,0.053304362
29,-35056108000.0,-11346610.476360003,-6932695.918079999,-6475914.830840001,-1557893.43952,-251387.350468,0.054255666
30,-35691692000.0,-11258230.407560004,-7352488.552,-6593326.2631600015,-1507617.07008,-243274.572672,0.055435134
31,-36316098000.0,-11455186.792140001,-7481116.187999999,-6708672.78354,-1533991.9795199998,-247530.523968,0.054986495
32,-36945119000.0,-11653598.886170002,-7610694.5139999995,-6824871.83287,-1560561.8265599997,-251817.931104,0.057025253
33,-37643133000.0,-11873773.442190003,-7754485.398,-6953815.959090001,-1590045.93792,-256575.59452800002,0.057887163
34,-38360211000.0,-12258005.425050003,-7744159.39668,-7086281.778030002,-1687849.2840000002,-272357.4981,0.058717957
35,-39121445000.0,-12501257.749750003,-7897837.3166,-7226904.53485,-1721343.58,-277762.2595,0.059527368
36,-39827879000.0,-12726998.734450003,-8040452.21252,-7357404.087670001,-1752426.676,-282777.9409,0.059797032
37,-40537723000.0,-12953829.384650001,-8183755.519239999,-7488533.56979,-1783659.812,-287817.8333,0.060231509
38,-41254953000.0,-13850990.726559838,-7903623.8957400005,-7711428.621099841,-1778913.57336,-287051.96297399997,0.060657938
39,-41920207000.0,-14090280.342357278,-8031073.257060001,-7851715.136617283,-1807599.32584,-291680.800306,0.060908764
40,-42584528000.0,-14300695.311813118,-8158343.87424,-7963265.85485312,-1836244.8473599998,-296303.14582399995,0.06134486
41,-43224234000.0,-14528218.317595193,-8280898.74972,-8095587.813715201,-1863828.9700799996,-300754.22017199994,0.061824324
42,-43898185000.0,-15371283.103955999,-8319584.0212,-8423078.382156,-1796313.7301999999,-289859.715555,0.06250263
43,-44543270000.0,-15614482.942728002,-8441840.5304,-8564174.167128,-1822710.6084,-294119.21180999995,0.062946725
44,-45190827000.0,-15846557.55156144,-8564565.53304,-8693753.45400144,-1849208.64084,-298395.030681,0.063592147
45,-45895733000.0,-16073118.95231952,-8698159.318160001,-8808742.33307952,-1878053.39436,-303049.524999,0.064303253
46,-46584562000.0,-18839076.380172,-9308527.17884,-10049501.222012,-1885743.06976,-304290.358984,0.065083644
47,-47335044000.0,-19120491.165735357,-9458488.49208,-10189315.06381536,-1916122.5811200002,-309192.507408,0.065433242
48,-48059252000.0,-19437526.0239984,-9603199.73464,-10369706.3566384,-1945438.52096,-313923.034064,0.066480228
49,-48833517000.0,-19735065.78512184,-9757913.36694,-10521157.797561841,-1976780.7681600002,-318980.533044,0.067253859
50,-49652796000.0,-23010793.861464,-10433045.495520001,-11949143.968584001,-2119181.33328,-341958.80605199997,0.068239059
51,-50458012000.0,-23406192.15161568,-10602237.48144,-12165156.23825568,-2153547.95216,-347504.328644,0.069203216
52,-51349694000.0,-23797194.089709498,-10789597.70328,-12357509.260389498,-2191604.9399200003,-353645.342578,0.07007505
53,-52239539000.0,-24232597.347390957,-10976571.93468,-12594672.848970959,-2229583.52452,-359773.70509299997,0.070953616
54,-53188653000.0,-24649430.214401998,-11175999.76836,-12800062.099062,-2270091.71004,-366310.25321099994,0.072010007
55,-54061645000.0,-23520777.212345604,-10802597.9039,-12320285.601245599,-2426286.6276,-391514.43308999995,0.07151695
56,-54925554000.0,-23871963.981696002,-10975224.20028,-12492487.703976,-2465058.86352,-397770.86206799996,0.072093899
57,-55711493000.0,-24238100.64590753,-11132270.53126,-12695793.526167521,-2500331.80584,-403462.63230600004,0.07230886
58,-56466004000.0,-24541480.522496004,-11283036.91928,-12842853.813776001,-2534194.2595200003,-408926.800968,0.072158279
59,-57087677000.0,-23978801.857131287,-11995262.691240001,-12950604.414271282,-2587213.5216400004,-417482.18190100003,0.071889194
60,-57621523000.0,-24185113.071042802,-12107434.41276,-13053787.257902801,-2611407.42236,-421386.197699,0.071235779
61,-58031111000.0,-24338976.824154165,-12193497.04332,-13128526.80117416,-2629969.95052,-424381.514743,0.070521489
62,-58280109000.0,-24497792.048079118,-12245816.50308,-13239240.59145912,-2641254.53988,-426202.43711699994,0.069850543
63,-58442646000.0,-23788966.844419677,-12400360.62828,-13051883.921299681,-2571476.424,-414942.7866,0.069181893
64,-58502003000.0,-23837389.947988395,-12412954.99654,-13089401.9568284,-2574088.1319999998,-415364.2213,0.068468516
65,-58471658000.0,-23800776.123901356,-12406516.39444,-13058363.116141358,-2572752.952,-415148.7718,0.067612945
66,-58345630000.0,-23780227.1487256,-12379775.7734,-13060968.005125599,-2567207.7199999997,-414253.97299999994,0.06703494
67,-58136609000.0,-22737771.93856024,-11976141.454,-12558051.70266024,-2506850.5800799998,-404514.5254219999,0.065920146
68,-57871901000.0,-22687743.57712984,-11921611.605999999,-12554373.712029839,-2495436.37112,-402672.68715799996,0.065446666
69,-57519150000.0,-22499259.736980002,-11848944.9,-12427656.571980001,-2480225.748,-400218.24569999997,0.064767625
70,-57152306000.0,-22376504.02652848,-11773375.035999998,-12369135.24592848,-2464407.43472,-397665.74514799996,0.063874463
71,-56780740000.0,-21246330.85468,-11462895.791199999,-11910441.58388,-2523336.0856,-407174.68653999997,0.064011631
72,-56362005000.0,-21052151.240223598,-11378361.5694,-11785110.3781236,-2504727.5022,-404171.93785499997,0.063191244
73,-55921316000.0,-20895277.09312736,-11289395.274079999,-11700694.31640736,-2485143.2830399997,-401011.75703599997,0.0624661
74,-55479788000.0,-20730777.3113168,-11200259.60144,-11608790.568356799,-2465521.77872,-397845.55974799994,0.062067622
75,-55059734000.0,-19972641.007991232,-11455728.25604,-11463709.715631237,-2495307.14488,-402651.834742,0.06226398
76,-54669722000.0,-19831166.120101117,-11374582.35932,-11382507.28222112,-2477631.8010400003,-399799.676986,0.062224879
77,-54326496000.0,-19743274.33064448,-11303170.75776,-11347657.63880448,-2462076.79872,-397289.665248,0.062156812
78,-53995803000.0,-19587171.923140798,-11234366.77218,-11242660.5275208,-2447089.79196,-394871.307339,0.062178616
